"","Name","prop","sex"
"480","Miranda",0.000311323042512701,"female"
"481","Dixie",0.000311323042512701,"female"
"482","Lucia",0.000311323042512701,"female"
"483","Marta",0.000311323042512701,"female"
"484","Faith",0.000311323042512701,"female"
"485","Lela",0.000311323042512701,"female"
"486","Johanna",0.000311323042512701,"female"
"487","Shari",0.000311323042512701,"female"
"488","Camille",0.000311323042512701,"female"
"489","Tami",0.000300197823099973,"female"
"490","Shawna",0.000300197823099973,"female"
"491","Elisa",0.000300197823099973,"female"
"492","Ebony",0.000300197823099973,"female"
"493","Melba",0.000300197823099973,"female"
"494","Ora",0.000300197823099973,"female"
"495","Nettie",0.000300197823099973,"female"
"496","Tabitha",0.000300197823099973,"female"
"497","Ollie",0.000300197823099973,"female"
"498","Jaime",0.000300197823099973,"female"
"499","Winifred",0.000300197823099973,"female"
"500","Kristie",0.000300197823099973,"female"
"501","Marina",0.000300197823099973,"female"
"502","Alisha",0.000300197823099973,"female"
"503","Aimee",0.000300197823099973,"female"
"504","Rena",0.000300197823099973,"female"
"505","Myrna",0.000289079927728993,"female"
"506","Marla",0.000289079927728993,"female"
"507","Tammie",0.000289079927728993,"female"
"508","Latasha",0.000289079927728993,"female"
"509","Bonita",0.000289079927728993,"female"
"510","Patrice",0.000289079927728993,"female"
"511","Ronda",0.000289079927728993,"female"
"512","Sherrie",0.000289079927728993,"female"
"513","Addie",0.000289079927728993,"female"
"514","Francine",0.000277962032358012,"female"
"515","Deloris",0.000277962032358012,"female"
"516","Stacie",0.000277962032358012,"female"
"517","Adriana",0.000277962032358012,"female"
"518","Cheri",0.000277962032358012,"female"
"519","Shelby",0.000277962032358012,"female"
"520","Abigail",0.000277962032358012,"female"
"521","Celeste",0.000277962032358012,"female"
"522","Jewel",0.000277962032358012,"female"
"523","Cara",0.000277962032358012,"female"
"524","Adele",0.000277962032358012,"female"
"525","Rebekah",0.000277962032358012,"female"
"526","Lucinda",0.000277962032358012,"female"
"527","Dorthy",0.000277962032358012,"female"
"528","Chris",0.000266844136987031,"female"
"529","Effie",0.000266844136987031,"female"
"530","Trina",0.000266844136987031,"female"
